NumberCarsOwned,AvgMonthSpend
3,50.97
2,53.11
3,54.08
2,56.93
1,55.41
2,49.31
1,56.01
1,49.29
0,50.05
1,54.15
1,54.02
3,58.29
1,52.66
2,52.5
1,49.61
2,49.04
3,50.48
2,51
2,58.69
1,52.3
0,50.38
0,53.22
1,51.88
1,49.72
0,48.76
2,52.03
2,49.89
3,51.15
1,53.53
2,50.59
1,49.29
0,49
2,54.71
2,55.64
0,50.55
2,50.16
1,51.02
0,52.17
2,52.31
0,53.13
1,48.89
0,52.46
3,50.21
3,53.97
2,50.85
1,47.53
0,50.48
1,50.57
0,48.1
1,51.99
0,51.43
2,55.52
2,50.76
1,47.68
2,57.1
1,46.25
1,51.34
1,51.29
2,49.64
2,50.98
1,58.85
3,52.81
1,53.16
2,49.8
0,59.05
2,54.19
1,55.8
1,48.95
2,55.26
3,51.75
2,51.48
1,55.34
2,51.97
2,54.5
0,48.12
1,57.27
2,54.25
1,53.22
1,52.19
0,46.19
0,45.76
0,50.02
1,53.77
1,51.62
1,50.42
3,52.17
1,53.1
0,50.64
3,52.48
1,52.85
3,59.52
0,52.61
3,53.81
1,52.65
2,51.69
1,56.39
2,50.62
2,57.61
1,47.02
2,48.54
3,56.63
3,50.09
1,52.78
2,51.61
0,48.05
2,48.53
1,48.33
2,54.89
0,51.31
1,50.51
0,50.25
2,56.85
1,50.94
3,54.67
2,55.61
2,54.2
1,49.68
1,54.55
1,54.11
2,49.58
2,53.03
1,56.24
2,52.27
0,47.28
1,51.54
3,57.71
1,54.24
1,48.11
2,50.06
1,55.41
2,51.7
2,54.03
1,52.71
0,52.73
2,51
2,52.96
0,49.14
2,52.62
1,61.12
1,51.66
1,48.74
2,50.33
2,52.71
2,50.78
1,53.52
1,48.73
1,60.78
1,57.06
3,51.26
1,52.95
2,49.93
1,48.8
2,52.42
0,53.16
2,56.7
3,51.04
1,49.99
1,56.33
3,50.8
3,53.12
2,53.95
2,49.8
1,56.22
0,46.38
3,50.38
0,48.62
1,57.32
2,57.36
0,48.84
2,54.84
0,52.5
2,48.28
3,49.99
1,48.21
1,59.27
1,50.3
0,47.46
2,53.79
2,52.2
1,54.72
0,52.93
2,57.56
0,51.78
1,48.36
1,50.5
0,47.15
0,49.83
2,54.85
2,51.33
1,50.72
2,53.04
2,51.53
1,48.65
1,53.81
2,54.8
2,55.82
2,51.39
3,51.2
2,53.98
1,50.08
0,52.24
1,50.99
2,47.93
3,54.16
1,58.64
1,49.64
0,48.5
1,48.52
3,53.51
1,51.35
4,52.17
2,55.47
1,49.34
2,54.91
1,57.12
2,49.84
2,51.55
2,56.89
0,46.82
0,50.43
1,48.2
2,54.53
0,48.28
0,47.03
0,53.02
0,48.04
0,61.69
2,50.37
0,51.84
1,48.47
2,52.44
1,45.77
1,54.57
0,52.55
2,51.15
1,55.31
2,50.93
1,55.78
0,52.04
2,54.78
1,48.52
3,52.94
1,49.82
1,53.85
1,49.84
2,52.54
0,53.76
1,50.68
2,53.33
0,49.64
1,50.55
2,55.18
1,48.71
0,45.07
3,65.29
3,52.28
2,48.96
0,49.83
1,60.95
2,49.02
2,49.95
2,52.19
0,48.37
0,51.68
0,47.45
3,52.34
1,51.3
0,48.34
