City,StateProvinceName,CountryRegionName,PostalCode,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AgeInYears,BikeBuyer,AvgMonthSpend
Wollongong,New South Wales,Australia,2500,Bachelors,Clerical,M,M,1,3,0,1,81916,29,1,50.97
Shawnee,British Columbia,Canada,V9B 2C3,Partial College,Clerical,M,M,1,2,1,2,81076,44,1,53.11
West Covina,California,United States,91791,Bachelors,Clerical,F,S,0,3,0,0,86387,31,1,54.08
Liverpool,England,United Kingdom,L4 4HB,Partial College,Skilled Manual,M,M,1,2,1,2,61481,39,1,56.93
Werne,Nordrhein-Westfalen,Germany,59368,Partial College,Skilled Manual,M,S,1,1,0,0,51804,42,1,55.41
Tacoma,Washington,United States,98403,High School,Skilled Manual,F,M,1,2,2,2,61944,42,1,49.31
Redwood City,California,United States,94063,Partial College,Manual,M,S,1,1,0,0,34919,45,0,56.01
Lavender Bay,New South Wales,Australia,2060,Partial College,Skilled Manual,F,M,0,1,0,0,61832,20,1,49.29
Dunkerque,Nord,France,59140,Partial College,Clerical,F,M,1,0,0,2,83834,40,1,50.05
Metz,Moselle,France,57000,High School,Manual,M,S,0,1,0,0,26880,40,0,54.15
Redwood City,California,United States,94063,Partial College,Clerical,F,S,0,1,0,0,77258,18,0,54.02
Lakewood,California,United States,90712,Bachelors,Management,M,M,1,3,0,0,102698,35,0,58.29
Los Angeles,California,United States,90012,Bachelors,Management,F,M,1,1,1,2,108198,32,1,52.66
Wollongong,New South Wales,Australia,2500,Bachelors,Professional,M,M,1,2,0,2,133762,56,0,52.5
Maidenhead,England,United Kingdom,SL67RJ,Partial High School,Manual,M,S,0,1,0,0,30526,25,0,49.61
Beverly Hills,California,United States,90210,Partial College,Skilled Manual,F,M,1,2,0,2,56353,46,1,49.04
Puyallup,Washington,United States,98371,High School,Clerical,F,S,1,3,1,1,79019,51,1,50.48
Langley,British Columbia,Canada,V3A 4R2,Partial College,Skilled Manual,M,S,0,2,0,0,55387,24,1,51
Darmstadt,Hessen,Germany,64283,Bachelors,Management,M,M,1,2,0,2,113276,35,0,58.69
Orly,Val de Marne,France,94310,Partial College,Management,M,S,1,1,0,1,109259,53,0,52.3
El Cajon,California,United States,92020,High School,Clerical,F,M,1,0,0,2,83845,36,0,50.38
Berlin,Hessen,Germany,12171,High School,Skilled Manual,F,M,1,0,2,2,59527,40,1,53.22
Oak Bay,British Columbia,Canada,V8P,Bachelors,Management,M,S,1,1,0,1,108360,55,0,51.88
Coronado,California,United States,92118,Partial College,Clerical,M,M,0,1,0,0,87504,20,0,49.72
Hervey Bay,Queensland,Australia,4655,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,24,1,48.76
Coronado,California,United States,92118,Bachelors,Professional,F,S,1,2,0,0,137464,27,1,52.03
Drancy,Seine Saint Denis,France,93700,High School,Clerical,M,M,1,2,0,1,87676,27,1,49.89
Frankfurt,Hessen,Germany,60323,Bachelors,Management,M,M,1,3,0,2,104187,51,1,51.15
Findon,South Australia,Australia,5023,Bachelors,Clerical,M,S,0,1,0,0,78222,33,1,53.53
Newcastle,New South Wales,Australia,2300,Graduate Degree,Clerical,F,M,1,2,0,1,77383,30,0,50.59
Morangis,Essonne,France,91420,High School,Skilled Manual,F,M,1,1,2,2,60700,32,1,49.29
Pantin,Seine Saint Denis,France,93500,High School,Manual,F,S,0,0,0,0,30913,36,0,49
West Covina,California,United States,91791,Partial College,Clerical,F,S,1,2,0,0,86952,38,1,54.71
Sooke,British Columbia,Canada,V0,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,38,1,55.64
Berkeley,California,United States,94704,Partial College,Clerical,M,M,0,0,0,0,77478,19,0,50.55
Lemon Grove,California,United States,91945,Bachelors,Clerical,M,M,1,2,0,1,78406,29,0,50.16
Kassel,Hessen,Germany,34117,Partial College,Clerical,M,S,0,1,0,0,85318,26,0,51.02
Courbevoie,Hauts de Seine,France,92400,High School,Skilled Manual,F,S,0,0,0,0,52928,20,1,52.17
Townsville,Queensland,Australia,4810,Bachelors,Clerical,F,S,0,2,0,0,79224,29,1,52.31
Woolston,England,United Kingdom,WA1 4SY,Partial College,Manual,M,M,0,0,0,1,33076,33,1,53.13
Sèvres,Hauts de Seine,France,92310,High School,Skilled Manual,F,M,1,1,0,2,56641,31,0,48.89
La Jolla,California,United States,92806,High School,Manual,M,M,1,0,0,1,27203,34,0,52.46
Saint Ouen,Somme,France,80610,High School,Clerical,F,S,0,3,0,0,77098,30,0,50.21
Paris,Seine (Paris),France,75008,Bachelors,Management,M,M,1,3,2,2,103200,28,1,53.97
St. Leonards,New South Wales,Australia,2065,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,32,0,50.85
Saint-Denis,Seine Saint Denis,France,93400,Partial College,Manual,F,S,0,1,0,0,25826,42,0,47.53
Lakewood,California,United States,90712,High School,Manual,M,M,1,0,1,1,30925,35,1,50.48
Newcastle,New South Wales,Australia,2300,Partial High School,Manual,F,M,1,1,1,2,30288,45,0,50.57
Oakland,California,United States,94611,Bachelors,Manual,M,S,0,0,0,0,34685,31,1,48.1
Novato,California,United States,94947,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,27,1,51.99
Berlin,Hamburg,Germany,10210,Partial College,Management,M,S,0,0,0,0,108342,21,1,51.43
Lane Cove,New South Wales,Australia,1597,Bachelors,Professional,F,M,1,2,1,1,130385,29,1,55.52
Paris,Seine (Paris),France,75019,Partial College,Skilled Manual,F,S,0,2,0,0,58227,32,1,50.76
Suresnes,Hauts de Seine,France,92150,Partial College,Skilled Manual,M,S,0,1,0,0,52156,22,1,47.68
Cloverdale,South Australia,Australia,6105,Graduate Degree,Professional,M,S,1,2,0,0,131458,30,1,57.1
Oregon City,Oregon,United States,97045,Partial College,Manual,M,S,0,1,0,0,33510,19,0,46.25
Corvallis,Oregon,United States,97330,High School,Skilled Manual,F,S,1,1,0,1,56785,50,0,51.34
Paderborn,Hamburg,Germany,33041,Partial College,Skilled Manual,F,S,0,1,0,0,58201,23,0,51.29
Palo Alto,California,United States,94303,Bachelors,Clerical,F,M,1,2,0,1,82359,31,1,49.64
Lakewood,California,United States,90712,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,51,1,50.98
National City,California,United States,91950,High School,Manual,M,M,1,1,1,2,33167,36,0,58.85
St. Leonards,New South Wales,Australia,2065,Partial College,Management,F,S,1,3,0,1,107883,51,1,52.81
Beaverton,Oregon,United States,97005,High School,Clerical,F,M,1,1,2,2,80056,59,1,53.16
Bury,England,United Kingdom,PE17,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,32,1,49.8
Lebanon,Oregon,United States,97355,Bachelors,Manual,M,M,0,0,1,1,36070,30,1,59.05
Hobart,Tasmania,Australia,7001,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,32,1,54.19
Wollongong,New South Wales,Australia,2500,Partial College,Management,M,S,0,1,0,0,112726,17,0,55.8
Runcorn,England,United Kingdom,TY31,Partial College,Manual,M,M,1,1,0,2,29749,46,0,48.95
Coronado,California,United States,92118,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,38,1,55.26
Redwood City,California,United States,94063,Partial College,Management,F,S,1,3,0,0,102647,46,1,51.75
Solingen,Nordrhein-Westfalen,Germany,42651,Partial College,Clerical,F,S,0,2,0,0,82258,20,1,51.48
Sedro Woolley,Washington,United States,98284,High School,Skilled Manual,M,M,1,1,2,2,54200,40,1,55.34
Oakland,California,United States,94611,Partial College,Skilled Manual,F,S,0,2,0,0,60908,21,1,51.97
Hawthorne,Queensland,Australia,4171,Bachelors,Management,M,S,1,2,0,0,105007,29,1,54.5
Sedro Woolley,Washington,United States,98284,High School,Manual,F,M,1,0,1,1,32319,40,1,48.12
Gold Coast,Queensland,Australia,4217,Partial College,Skilled Manual,M,S,0,1,0,0,52311,35,0,57.27
Port Hammond,British Columbia,Canada,V6B 3P7,Partial College,Clerical,F,S,1,2,0,0,82851,36,0,54.25
Olympia,Washington,United States,98501,High School,Manual,M,M,1,1,2,2,29111,45,0,53.22
Villeneuve-d'Ascq,Nord,France,59491,Graduate Degree,Clerical,M,M,1,1,1,1,81985,28,1,52.19
Wollongong,New South Wales,Australia,2500,Partial High School,Manual,F,S,1,0,0,0,33954,48,0,46.19
Kirkland,Washington,United States,98033,Partial College,Manual,F,S,0,0,0,0,29016,21,0,45.76
West Covina,California,United States,91791,High School,Manual,F,M,1,0,1,2,33152,50,1,50.02
Chula Vista,California,United States,91910,Graduate Degree,Clerical,M,M,1,1,2,2,80331,59,1,53.77
Braunschweig,Nordrhein-Westfalen,Germany,38001,Bachelors,Clerical,F,S,1,1,1,1,79235,50,0,51.62
Kassel,Hessen,Germany,34117,Graduate Degree,Manual,F,S,0,1,0,0,35390,27,0,50.42
Lincoln Acres,California,United States,91950,Graduate Degree,Professional,M,S,0,3,0,0,136457,22,0,52.17
Wollongong,New South Wales,Australia,2500,High School,Skilled Manual,F,S,1,1,0,0,53549,44,0,53.1
Cloverdale,South Australia,Australia,6105,Partial College,Clerical,F,M,1,0,1,2,85674,35,1,50.64
Lynnwood,Washington,United States,98036,Bachelors,Professional,M,M,1,3,0,2,129242,49,1,52.48
Seattle,Washington,United States,98104,Partial High School,Skilled Manual,F,M,1,1,2,2,61829,41,1,52.85
Torrance,California,United States,90505,Bachelors,Management,M,S,1,3,0,0,111980,32,1,59.52
Bottrop,Nordrhein-Westfalen,Germany,46236,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,29,1,52.61
Tremblay-en-France,Seine Saint Denis,France,93290,Partial College,Management,F,S,1,3,0,0,106648,40,1,53.81
Woolston,England,United Kingdom,WA1 4SY,Partial High School,Skilled Manual,M,S,0,1,0,0,58037,24,0,52.65
München,Nordrhein-Westfalen,Germany,80074,Partial College,Management,F,M,1,2,0,1,106062,24,1,51.69
Colombes,Hauts de Seine,France,92700,High School,Manual,M,S,0,1,0,0,28008,31,0,56.39
Ballard,Washington,United States,98107,Graduate Degree,Clerical,M,M,1,2,0,3,86828,57,0,50.62
Lavender Bay,New South Wales,Australia,2060,Partial College,Skilled Manual,M,S,0,2,0,0,61109,35,1,57.61
Salem,Oregon,United States,97301,Graduate Degree,Manual,F,M,1,1,1,2,35142,58,0,47.02
