Selected Treasury Bill Yields


Weekly (Tuesday) series: 2011-01-04 - 2017-07-25
V80691303 = Treasury bill auction - average yields - 3 month

Summary,Date,V80691303
Low,2015-09-08,0.37
High,2012-04-24,1.04
Average,2011-01-04 - 2017-07-25,0.78

Date,V80691303
2017-07-25, 0.74
2017-07-18, --
2017-07-11, 0.76
2017-07-04, --
2017-06-27, 0.68
2017-06-20, --
2017-06-13, 0.54
2017-06-06, --
2017-05-30, 0.53
2017-05-23, --
2017-05-16, 0.52
2017-05-09, --
2017-05-02, 0.53
2017-04-25, --
2017-04-18, 0.55
2017-04-11, --
2017-04-04, 0.56
2017-03-28, --
2017-03-21, 0.51
2017-03-14, --
2017-03-07, 0.50
2017-02-28, --
2017-02-21, 0.48
2017-02-14, --
2017-02-07, 0.47
2017-01-31, --
2017-01-24, 0.46
2017-01-17, --
2017-01-10, 0.48
2017-01-03, --
2016-12-27, 0.47
2016-12-20, --
2016-12-13, 0.50
2016-12-06, --
2016-11-29, 0.51
2016-11-22, --
2016-11-15, 0.50
2016-11-08, --
2016-11-01, 0.47
2016-10-25, --
2016-10-18, 0.50
2016-10-11, --
2016-10-04, 0.50
2016-09-27, --
2016-09-20, 0.53
2016-09-13, --
2016-09-06, 0.51
2016-08-30, --
2016-08-23, 0.51
2016-08-16, --
2016-08-09, 0.52
2016-08-02, --
2016-07-26, 0.50
2016-07-19, --
2016-07-12, 0.47
2016-07-05, --
2016-06-28, 0.49
2016-06-21, --
2016-06-14, 0.52
2016-06-07, --
2016-05-31, 0.55
2016-05-24, --
2016-05-17, 0.54
2016-05-10, --
2016-05-03, 0.54
2016-04-26, --
2016-04-19, 0.54
2016-04-12, --
2016-04-05, 0.46
2016-03-29, --
2016-03-22, 0.46
2016-03-15, --
2016-03-08, 0.47
2016-03-01, --
2016-02-23, 0.46
2016-02-16, --
2016-02-09, 0.45
2016-02-02, --
2016-01-26, 0.48
2016-01-19, --
2016-01-12, 0.42
2016-01-05, --
2015-12-29, 0.50
2015-12-22, --
2015-12-15, 0.47
2015-12-08, --
2015-12-01, 0.50
2015-11-24, --
2015-11-17, 0.44
2015-11-10, --
2015-11-03, 0.41
2015-10-27, --
2015-10-20, 0.39
2015-10-13, --
2015-10-06, 0.42
2015-09-29, --
2015-09-22, 0.41
2015-09-15, --
2015-09-08, 0.37
2015-09-01, --
2015-08-25, 0.38
2015-08-18, --
2015-08-11, 0.40
2015-08-04, --
2015-07-28, 0.43
2015-07-21, --
2015-07-14, 0.55
2015-07-07, --
2015-06-30, 0.58
2015-06-23, --
2015-06-16, 0.63
2015-06-09, --
2015-06-02, 0.62
2015-05-26, --
2015-05-19, 0.67
2015-05-12, --
2015-05-05, 0.67
2015-04-28, --
2015-04-21, 0.65
2015-04-14, --
2015-04-07, 0.58
2015-03-31, --
2015-03-24, 0.53
2015-03-17, --
2015-03-10, 0.59
2015-03-03, --
2015-02-24, 0.47
2015-02-17, --
2015-02-10, 0.54
2015-02-03, --
2015-01-27, 0.59
2015-01-20, --
2015-01-13, 0.91
2015-01-06, --
2014-12-30, 0.91
2014-12-23, --
2014-12-16, 0.89
2014-12-09, --
2014-12-02, 0.90
2014-11-25, --
2014-11-18, 0.90
2014-11-11, --
2014-11-04, 0.89
2014-10-28, --
2014-10-21, 0.88
2014-10-14, --
2014-10-07, 0.90
2014-09-30, --
